plate,raw_track,expected_stage_flow,actual_stage_flow,expected_report_sequence,actual_report_sequence,status
0037BK,2026-03-18 10:16:48 Drive-In In,Drive In,Drive In,Drive In [2026-03-18 10:16:48 → ∅],Drive In [2026-03-18T10:16:48.211 → ∅],DIFF
0542KA,2026-03-19 10:19:50 Post In (Post 1) ; 2026-03-19 10:23:57 Post Out (Post 1) ; 2026-03-19 10:46:27 Post Out (Post 1) ; 2026-03-19 13:37:10 Post In (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-19 10:19:49] ; Post 1 [2026-03-19 10:19:50 → ∅],Service [∅ → 2026-03-19T10:19:49.204] ; Post 1 [2026-03-19T10:19:50.204 → ∅],DIFF
1163KK,2026-03-18 15:55:07 Post In (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-18 15:55:06] ; Post 1 [2026-03-18 15:55:07 → ∅],Service [∅ → 2026-03-18T15:55:06.697] ; Post 1 [2026-03-18T15:55:07.697 → ∅],DIFF
16BP2782,2026-03-19 12:18:35 Service Out,Service* → Backyard,Service → Backyard,Service [∅ → 2026-03-19 12:18:35] ; Backyard [2026-03-19 12:18:35 → ∅],Service [∅ → 2026-03-19T12:18:35.128] ; Backyard [2026-03-19T12:18:35.128 → ∅],DIFF
4444PO,2026-03-18 16:59:37 Post In (Post 1) ; 2026-03-19 09:03:21 Post In (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-18 16:59:36] ; Post 1 [2026-03-18 16:59:37 → ∅],Service [∅ → 2026-03-18T16:59:36.927] ; Post 1 [2026-03-18T16:59:37.927 → ∅],DIFF
47071KK,2026-03-19 11:52:02 Service -> Drive-In ; 2026-03-19 12:00:39 Service -> Drive-In ; 2026-03-19 12:00:40 Service -> Drive-In,Test-Drive,Test-Drive,Test-Drive [2026-03-19 11:52:02 → 2026-03-19 12:00:38],Test-Drive [2026-03-19T11:52:02.778 → 2026-03-19T12:00:38.565],DIFF
6050PH,2026-03-19 10:52:29 Service Out ; 2026-03-19 10:53:41 Service Out ; 2026-03-19 10:55:07 Service Out ; 2026-03-19 10:56:35 Service Out ; 2026-03-19 11:09:05 Service Out ; 2026-03-19 11:10:17 Service Out ; 2026-03-19 11:11:19 Service Out,Service* → Backyard → Service* → Service* → Service* → Service* → Service* → Service*,Service → Backyard,Service [∅ → 2026-03-19 10:52:29] ; Backyard [2026-03-19 10:52:29 → ∅] ; Service [∅ → 2026-03-19 10:53:41] ; Service [∅ → 2026-03-19 10:55:07] ; Service [∅ → 2026-03-19 10:56:35] ; Service [∅ → 2026-03-19 11:09:05] ; Service [∅ → 2026-03-19 11:10:17] ; Service [∅ → 2026-03-19 11:11:19],Service [∅ → 2026-03-19T10:52:29.641] ; Backyard [2026-03-19T10:52:29.641 → ∅],DIFF
7726AC,2026-03-18 10:44:43 Service In,Service,Service,Service [2026-03-18 10:44:43 → ∅],Service [2026-03-18T10:44:43.823 → ∅],DIFF
7726AO,2026-03-18 17:52:03 Drive-In In,Drive In,Drive In,Drive In [2026-03-18 17:52:03 → ∅],Drive In [2026-03-18T17:52:03.984 → ∅],DIFF
777477,2026-03-19 12:40:39 Post In (Post 2),Service* → Post 2,Service → Post 2,Service [∅ → 2026-03-19 12:40:38] ; Post 2 [2026-03-19 12:40:39 → ∅],Service [∅ → 2026-03-19T12:40:38.127] ; Post 2 [2026-03-19T12:40:39.127 → ∅],DIFF
9725AO,2026-03-18 17:52:04 Drive-In In,Drive In,Drive In,Drive In [2026-03-18 17:52:04 → ∅],Drive In [2026-03-18T17:52:04.173 → ∅],DIFF
9726AC,2026-03-18 10:43:13 Service In,Service,Service,Service [2026-03-18 10:43:13 → ∅],Service [2026-03-18T10:43:13.944 → ∅],DIFF
A1163KK,2026-03-18 14:40:38 Post In (Post 1) ; 2026-03-18 14:42:11 Post Out (Post 1) ; 2026-03-18 15:02:52 Post Out (Post 1),Service* → Post 1,Service → Post 1,Service [∅ → 2026-03-18 14:40:37] ; Post 1 [2026-03-18 14:40:38 → ∅],Service [∅ → 2026-03-18T14:40:37.612] ; Post 1 [2026-03-18T14:40:38.612 → ∅],DIFF
A3370BH,2026-03-17 17:55:07 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 17:55:07 → ∅],Backyard [2026-03-17T17:55:07.015 → ∅],DIFF
A6050PH,2026-03-19 10:54:10 Service Out ; 2026-03-19 11:12:34 Service Out,Service* → Backyard → Service*,Service → Backyard,Service [∅ → 2026-03-19 10:54:10] ; Backyard [2026-03-19 10:54:10 → ∅] ; Service [∅ → 2026-03-19 11:12:34],Service [∅ → 2026-03-19T10:54:10.416] ; Backyard [2026-03-19T10:54:10.416 → ∅],DIFF
A7828BB,2026-03-18 09:12:18 Drive-In In,Drive In,Drive In,Drive In [2026-03-18 09:12:18 → ∅],Drive In [2026-03-18T09:12:18.724 → ∅],DIFF
A8186EB,2026-03-17 14:29:53 Parking In,Parking,Parking,Parking [2026-03-17 14:29:53 → ∅],Parking [2026-03-17T14:29:53.692 → ∅],DIFF
AA0007XA,2026-03-19 10:35:51 Service -> Drive-In ; 2026-03-19 10:37:51 Service -> Drive-In ; 2026-03-19 10:56:06 Drive-In -> Service ; 2026-03-19 10:56:31 Service In ; 2026-03-19 11:18:21 Service Out ; 2026-03-19 11:23:15 Service In ; 2026-03-19 11:24:15 Service Out ; 2026-03-19 11:26:22 Service In ; 2026-03-19 11:28:43 Service In ; 2026-03-19 14:07:29 Service Out ; 2026-03-19 14:13:25 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard → Service → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard → Service → Backyard → Service → Backyard,Test-Drive [2026-03-19 10:37:51 → 2026-03-19 10:56:05] ; Backyard [2026-03-19 10:56:06 → 2026-03-19 10:56:30] ; Service [2026-03-19 10:56:31 → 2026-03-19 11:18:20] ; Backyard [2026-03-19 11:18:21 → 2026-03-19 11:23:14] ; Service [2026-03-19 11:23:15 → 2026-03-19 11:24:14] ; Backyard [2026-03-19 11:24:15 → 2026-03-19 11:26:21] ; Service [2026-03-19 11:26:22 → 2026-03-19 14:07:28] ; Backyard [2026-03-19 14:07:29 → ∅],Test-Drive [2026-03-19T10:37:51.561 → 2026-03-19T10:56:05.220] ; Backyard [2026-03-19T10:56:06.220 → 2026-03-19T10:56:30.186] ; Service [2026-03-19T10:56:31.186 → 2026-03-19T11:18:20.292] ; Backyard [2026-03-19T11:18:21.292 → 2026-03-19T11:23:14.148] ; Service [2026-03-19T11:23:15.148 → 2026-03-19T11:24:14.227] ; Backyard [2026-03-19T11:24:15.227 → 2026-03-19T11:26:21.749] ; Service [2026-03-19T11:26:22.749 → 2026-03-19T14:07:28.122] ; Backyard [2026-03-19T14:07:29.122 → ∅],DIFF
AA0009MH,2026-03-19 08:59:23 Service -> Drive-In ; 2026-03-19 09:17:38 Drive-In -> Service ; 2026-03-19 09:19:31 Parking Out,Test-Drive → Backyard → Parking*,Test-Drive → Backyard,Test-Drive [2026-03-19 08:59:23 → 2026-03-19 09:17:37] ; Backyard [2026-03-19 09:17:38 → ∅] ; Parking [∅ → 2026-03-19 09:19:31],Test-Drive [2026-03-19T08:59:23.622 → 2026-03-19T09:17:37.301] ; Backyard [2026-03-19T09:17:38.301 → ∅],DIFF
AA0011KB,2026-03-19 09:33:49 Service -> Drive-In ; 2026-03-19 10:06:12 Drive-In -> Service ; 2026-03-19 10:06:40 Service In ; 2026-03-19 10:50:43 Service In ; 2026-03-19 10:55:56 Service In ; 2026-03-19 13:39:19 Service In ; 2026-03-19 13:44:42 Service Out,Test-Drive → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard,Test-Drive [2026-03-19 09:33:49 → 2026-03-19 10:06:11] ; Backyard [2026-03-19 10:06:12 → 2026-03-19 10:06:39] ; Service [2026-03-19 10:06:40 → 2026-03-19 13:44:41] ; Backyard [2026-03-19 13:44:42 → ∅],Test-Drive [2026-03-19T09:33:49.062 → 2026-03-19T10:06:11.519] ; Backyard [2026-03-19T10:06:12.519 → 2026-03-19T10:06:39.187] ; Service [2026-03-19T10:06:40.187 → 2026-03-19T13:44:41.271] ; Backyard [2026-03-19T13:44:42.271 → ∅],DIFF
AA0023EH,2026-03-17 13:58:44 Drive-In -> Service ; 2026-03-17 14:00:01 Service -> Drive-In ; 2026-03-17 14:01:06 Parking Out ; 2026-03-17 16:18:05 Parking In ; 2026-03-17 16:21:01 Drive-In -> Service,Backyard → Parking* → Backyard → Parking → Backyard,Backyard → Parking → Backyard → Parking → Backyard,Backyard [2026-03-17 13:58:44 → 2026-03-17 14:00:00] ; Parking [∅ → 2026-03-17 14:01:06] ; Backyard [2026-03-17 14:01:06 → 2026-03-17 16:18:04] ; Parking [2026-03-17 16:18:05 → 2026-03-17 16:21:00] ; Backyard [2026-03-17 16:21:01 → ∅],Backyard [2026-03-17T13:58:44.215 → 2026-03-17T14:00:00.315] ; Parking [∅ → 2026-03-17T14:01:06.144] ; Backyard [2026-03-17T14:01:06.144 → 2026-03-17T16:18:04.895] ; Parking [2026-03-17T16:18:05.895 → 2026-03-17T16:21:00.961] ; Backyard [2026-03-17T16:21:01.961 → ∅],DIFF
AA0202OK,2026-03-18 13:42:52 Service -> Drive-In,,,,,OK
AA0999KC,2026-03-17 18:56:41 Service -> Drive-In,,,,,OK
AA1204YA,2026-03-19 10:37:59 Service -> Drive-In,,,,,OK
AA1448II,2026-03-18 08:27:24 Service -> Drive-In ; 2026-03-18 10:09:05 Service -> Drive-In,,,,,OK
AA1552OK,2026-03-17 13:54:03 Drive-In -> Service ; 2026-03-18 12:40:33 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 13:54:03 → ∅],Backyard [2026-03-17T13:54:03.568 → ∅],DIFF
AA1674MK,2026-03-19 12:26:32 Service -> Drive-In,,,,,OK
AA2292XT,2026-03-17 12:52:25 Parking In ; 2026-03-17 12:59:45 Drive-In -> Service,Parking → Backyard,Parking → Backyard,Parking [2026-03-17 12:52:25 → 2026-03-17 12:59:44] ; Backyard [2026-03-17 12:59:45 → ∅],Parking [2026-03-17T12:52:25.532 → 2026-03-17T12:59:44.223] ; Backyard [2026-03-17T12:59:45.223 → ∅],DIFF
AA3163YC,2026-03-18 08:37:43 Service -> Drive-In ; 2026-03-19 13:23:36 Drive-In -> Service ; 2026-03-19 13:24:53 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 13:23:36 → ∅],Backyard [2026-03-19T13:23:36.924 → ∅],DIFF
AA3279OK,2026-03-17 16:20:25 Service In ; 2026-03-17 16:25:13 Service In,Service,Service,Service [2026-03-17 16:20:25 → ∅],Service [2026-03-17T16:20:25.786 → ∅],DIFF
AA4244AB,2026-03-18 18:14:06 Service -> Drive-In,,,,,OK
AA4379TI,2026-03-17 13:53:36 Service -> Drive-In ; 2026-03-17 14:07:18 Drive-In -> Service,Test-Drive → Backyard,Test-Drive → Backyard,Test-Drive [2026-03-17 13:53:36 → 2026-03-17 14:07:17] ; Backyard [2026-03-17 14:07:18 → ∅],Test-Drive [2026-03-17T13:53:36.129 → 2026-03-17T14:07:17.615] ; Backyard [2026-03-17T14:07:18.615 → ∅],DIFF
AA4444PO,2026-03-18 16:04:13 Service In ; 2026-03-18 16:04:37 Post Out (Post 1) ; 2026-03-18 16:05:37 Post Out (Post 1) ; 2026-03-18 16:06:37 Post In (Post 1) ; 2026-03-18 16:08:33 Post In (Post 1) ; 2026-03-18 16:09:52 Post In (Post 1) ; 2026-03-18 16:13:51 Post In (Post 1) ; 2026-03-18 16:21:07 Post In (Post 1) ; 2026-03-18 16:26:15 Post In (Post 1) ; 2026-03-18 16:27:15 Post Out (Post 1) ; 2026-03-18 16:30:25 Post In (Post 1) ; 2026-03-18 16:31:25 Post In (Post 1) ; 2026-03-18 16:37:44 Post Out (Post 1) ; 2026-03-18 16:38:44 Post In (Post 1) ; 2026-03-18 16:39:51 Post In (Post 1) ; 2026-03-18 16:40:51 Post Out (Post 1) ; 2026-03-18 16:57:11 Post In (Post 1) ; 2026-03-18 16:59:03 Post Out (Post 1) ; 2026-03-18 17:00:03 Post In (Post 1) ; 2026-03-18 17:11:47 Post In (Post 1) ; 2026-03-18 17:12:47 Post In (Post 1) ; 2026-03-18 17:13:47 Post Out (Post 1) ; 2026-03-18 17:14:47 Post Out (Post 1) ; 2026-03-18 17:15:48 Post In (Post 1) ; 2026-03-18 17:17:00 Service Out ; 2026-03-18 17:28:50 Service In ; 2026-03-18 17:55:41 Service Out ; 2026-03-19 08:19:17 Post Out (Post 1) ; 2026-03-19 08:20:17 Post In (Post 1) ; 2026-03-19 08:37:01 Post In (Post 1) ; 2026-03-19 08:38:04 Post In (Post 1) ; 2026-03-19 08:39:04 Post Out (Post 1) ; 2026-03-19 08:52:31 Post In (Post 1) ; 2026-03-19 08:53:46 Post In (Post 1) ; 2026-03-19 09:00:01 Post In (Post 1) ; 2026-03-19 09:01:01 Post In (Post 1) ; 2026-03-19 09:02:15 Post In (Post 1) ; 2026-03-19 09:03:15 Post Out (Post 1) ; 2026-03-19 09:04:15 Post Out (Post 1) ; 2026-03-19 09:05:42 Post In (Post 1) ; 2026-03-19 09:12:34 Post In (Post 1) ; 2026-03-19 09:17:07 Post In (Post 1) ; 2026-03-19 09:18:07 Post Out (Post 1) ; 2026-03-19 09:20:44 Post Out (Post 1) ; 2026-03-19 09:22:08 Post Out (Post 1) ; 2026-03-19 09:23:08 Post Out (Post 1) ; 2026-03-19 09:25:02 Post In (Post 1) ; 2026-03-19 09:26:14 Post In (Post 1) ; 2026-03-19 09:27:38 Post In (Post 1) ; 2026-03-19 09:29:03 Post In (Post 1) ; 2026-03-19 09:31:30 Post In (Post 1) ; 2026-03-19 09:33:09 Post In (Post 1) ; 2026-03-19 09:34:27 Post In (Post 1) ; 2026-03-19 09:35:43 Post In (Post 1) ; 2026-03-19 09:36:43 Post In (Post 1) ; 2026-03-19 09:37:49 Post In (Post 1) ; 2026-03-19 09:45:13 Post In (Post 1) ; 2026-03-19 09:46:14 Post Out (Post 1) ; 2026-03-19 09:48:05 Post In (Post 1) ; 2026-03-19 09:56:36 Post In (Post 1) ; 2026-03-19 09:58:14 Post In (Post 1) ; 2026-03-19 09:59:14 Post In (Post 1) ; 2026-03-19 09:59:15 Post In (Post 1) ; 2026-03-19 10:06:36 Post In (Post 1) ; 2026-03-19 10:13:40 Service Out ; 2026-03-19 11:09:13 Service -> Drive-In,Service → Post 1* → Service → Post 1* → Service → Post 1 → Service → Backyard → Service → Backyard → Post 1* → Service → Post 1 → Service → Backyard,Service → Post 1 → Service → Post 1 → Service → Post 1 → Service → Backyard → Service → Backyard → Post 1 → Service → Post 1 → Service → Backyard,Service [2026-03-18 16:04:13 → ∅] ; Post 1 [∅ → 2026-03-18 16:04:37] ; Service [2026-03-18 16:04:37 → ∅] ; Post 1 [∅ → 2026-03-18 16:05:37] ; Service [2026-03-18 16:05:37 → 2026-03-18 16:06:36] ; Post 1 [2026-03-18 16:06:37 → 2026-03-18 17:14:47] ; Service [2026-03-18 17:14:48 → 2026-03-18 17:17:00] ; Backyard [2026-03-18 17:17:00 → 2026-03-18 17:28:49] ; Service [2026-03-18 17:28:50 → 2026-03-18 17:55:40] ; Backyard [2026-03-18 17:55:41 → ∅] ; Post 1 [∅ → 2026-03-19 08:19:17] ; Service [2026-03-19 08:19:17 → 2026-03-19 08:20:16] ; Post 1 [2026-03-19 08:20:17 → 2026-03-19 09:46:14] ; Service [2026-03-19 09:46:15 → 2026-03-19 10:13:40] ; Backyard [2026-03-19 10:13:40 → 2026-03-19 11:09:12],Service [2026-03-18T16:04:13.859 → 2026-03-18T16:04:36.761] ; Post 1 [∅ → 2026-03-18T16:04:37.761] ; Service [2026-03-18T16:04:37.761 → 2026-03-18T16:05:36.953] ; Post 1 [∅ → 2026-03-18T16:05:37.953] ; Service [2026-03-18T16:05:37.953 → 2026-03-18T16:06:36.999] ; Post 1 [2026-03-18T16:06:37.999 → 2026-03-18T17:14:47.984] ; Service [2026-03-18T17:14:48.984 → 2026-03-18T17:17:00.652] ; Backyard [2026-03-18T17:17:00.652 → 2026-03-18T17:28:49.385] ; Service [2026-03-18T17:28:50.385 → 2026-03-18T17:55:40.213] ; Backyard [2026-03-18T17:55:41.213 → 2026-03-19T08:19:16.395] ; Post 1 [∅ → 2026-03-19T08:19:17.395] ; Service [2026-03-19T08:19:17.395 → 2026-03-19T08:20:16.449] ; Post 1 [2026-03-19T08:20:17.449 → 2026-03-19T09:46:14.098] ; Service [2026-03-19T09:46:15.098 → 2026-03-19T10:13:40.695] ; Backyard [2026-03-19T10:13:40.695 → 2026-03-19T11:09:12.679],DIFF
AA5310PC,2026-03-19 13:05:20 Drive-In -> Service ; 2026-03-19 13:08:08 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 13:05:20 → ∅],Backyard [2026-03-19T13:05:20.438 → ∅],DIFF
AA8365BC,2026-03-17 14:05:30 Service -> Drive-In ; 2026-03-17 14:22:03 Drive-In -> Service ; 2026-03-17 16:44:33 Service In ; 2026-03-17 17:12:50 Service In ; 2026-03-17 17:53:35 Service -> Drive-In ; 2026-03-17 17:57:14 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard,Test-Drive [2026-03-17 14:05:30 → 2026-03-17 14:22:02] ; Backyard [2026-03-17 14:22:03 → 2026-03-17 16:44:32] ; Service [2026-03-17 16:44:33 → 2026-03-17 17:53:34] ; Backyard [2026-03-17 17:57:14 → ∅],Test-Drive [2026-03-17T14:05:30.188 → 2026-03-17T14:22:02.216] ; Backyard [2026-03-17T14:22:03.216 → 2026-03-17T16:44:32.269] ; Service [2026-03-17T16:44:33.269 → 2026-03-17T17:53:34.124] ; Backyard [2026-03-17T17:57:14.058 → ∅],DIFF
AA8845BO,2026-03-17 17:57:18 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 17:57:18 → ∅],Backyard [2026-03-17T17:57:18.225 → ∅],DIFF
AB2050HI,2026-03-19 08:53:49 Service -> Drive-In ; 2026-03-19 09:20:51 Drive-In -> Service ; 2026-03-19 12:31:44 Service In,Test-Drive → Backyard → Service,Test-Drive → Backyard → Service,Test-Drive [2026-03-19 08:53:49 → 2026-03-19 09:20:50] ; Backyard [2026-03-19 09:20:51 → 2026-03-19 12:31:43] ; Service [2026-03-19 12:31:44 → ∅],Test-Drive [2026-03-19T08:53:49.884 → 2026-03-19T09:20:50.855] ; Backyard [2026-03-19T09:20:51.855 → 2026-03-19T12:31:43.153] ; Service [2026-03-19T12:31:44.153 → ∅],DIFF
AE0022MX,2026-03-18 12:05:50 Service -> Drive-In ; 2026-03-18 12:30:50 Drive-In -> Service ; 2026-03-18 12:31:19 Service In ; 2026-03-18 14:50:27 Service Out ; 2026-03-18 14:51:01 Service -> Drive-In ; 2026-03-18 15:06:35 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard → Test-Drive → Backyard,Test-Drive → Backyard → Service → Backyard → Test-Drive → Backyard,Test-Drive [2026-03-18 12:05:50 → 2026-03-18 12:30:49] ; Backyard [2026-03-18 12:30:50 → 2026-03-18 12:31:18] ; Service [2026-03-18 12:31:19 → 2026-03-18 14:50:26] ; Backyard [2026-03-18 14:50:27 → 2026-03-18 14:51:00] ; Test-Drive [2026-03-18 14:51:01 → 2026-03-18 15:06:34] ; Backyard [2026-03-18 15:06:35 → ∅],Test-Drive [2026-03-18T12:05:50.237 → 2026-03-18T12:30:49.326] ; Backyard [2026-03-18T12:30:50.326 → 2026-03-18T12:31:18.570] ; Service [2026-03-18T12:31:19.570 → 2026-03-18T14:50:26.556] ; Backyard [2026-03-18T14:50:27.556 → 2026-03-18T14:51:00.748] ; Test-Drive [2026-03-18T14:51:01.748 → 2026-03-18T15:06:34.144] ; Backyard [2026-03-18T15:06:35.144 → ∅],DIFF
AE253H,2026-03-19 12:31:48 Service Out,Service* → Backyard,Service → Backyard,Service [∅ → 2026-03-19 12:31:48] ; Backyard [2026-03-19 12:31:48 → ∅],Service [∅ → 2026-03-19T12:31:48.362] ; Backyard [2026-03-19T12:31:48.362 → ∅],DIFF
AE9059HC,2026-03-17 15:42:56 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 15:42:56 → ∅],Backyard [2026-03-17T15:42:56.668 → ∅],DIFF
AI0454CK,2026-03-19 08:02:30 Service -> Drive-In,,,,,OK
AI0468BP,2026-03-19 09:20:49 Service -> Drive-In ; 2026-03-19 09:25:19 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 09:25:19 → ∅],Backyard [2026-03-19T09:25:19.681 → ∅],DIFF
AI0718TA,2026-03-18 08:47:15 Service -> Drive-In ; 2026-03-19 08:44:21 Service -> Drive-In,,,,,OK
AI1711EH,2026-03-18 09:13:41 Service -> Drive-In ; 2026-03-19 08:33:16 Service -> Drive-In,,,,,OK
AI1881YB,2026-03-18 11:51:28 Service -> Drive-In ; 2026-03-19 12:00:31 Service -> Drive-In,,,,,OK
AI2010E,2026-03-17 13:15:04 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 13:15:04 → ∅],Backyard [2026-03-17T13:15:04.064 → ∅],DIFF
AI2013YB,2026-03-17 13:07:25 Service -> Drive-In,,,,,OK
AI2018YB,2026-03-17 13:14:59 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 13:14:59 → ∅],Backyard [2026-03-17T13:14:59.862 → ∅],DIFF
AI3186PE,2026-03-19 08:45:29 Service -> Drive-In,,,,,OK
AI5553CO,2026-03-19 11:10:01 Service -> Drive-In,,,,,OK
AI8888OX,2026-03-17 14:39:18 Service -> Drive-In ; 2026-03-17 15:24:02 Drive-In -> Service,Test-Drive → Backyard,Test-Drive → Backyard,Test-Drive [2026-03-17 14:39:18 → 2026-03-17 15:24:01] ; Backyard [2026-03-17 15:24:02 → ∅],Test-Drive [2026-03-17T14:39:18.354 → 2026-03-17T15:24:01.352] ; Backyard [2026-03-17T15:24:02.352 → ∅],DIFF
AM7435AH,2026-03-17 16:44:28 Drive-In -> Service ; 2026-03-17 16:48:19 Drive-In -> Service ; 2026-03-18 16:42:57 Drive-In -> Service ; 2026-03-18 16:45:17 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 16:44:28 → ∅],Backyard [2026-03-17T16:44:28.634 → ∅],DIFF
B2450HI,2026-03-19 08:54:11 Drive-In In,Drive In,Drive In,Drive In [2026-03-19 08:54:11 → ∅],Drive In [2026-03-19T08:54:11.186 → ∅],DIFF
BA7777TA,2026-03-19 10:43:56 Service -> Drive-In ; 2026-03-19 10:55:53 Drive-In -> Service ; 2026-03-19 14:23:14 Drive-In -> Service,Test-Drive → Backyard,Test-Drive → Backyard,Test-Drive [2026-03-19 10:43:56 → 2026-03-19 10:55:52] ; Backyard [2026-03-19 10:55:53 → ∅],Test-Drive [2026-03-19T10:43:56.994 → 2026-03-19T10:55:52.024] ; Backyard [2026-03-19T10:55:53.024 → ∅],DIFF
BA7777TH,2026-03-19 11:00:48 Service In,Service,Service,Service [2026-03-19 11:00:48 → ∅],Service [2026-03-19T11:00:48.446 → ∅],DIFF
BH7295TI,2026-03-19 09:57:11 Service -> Drive-In ; 2026-03-19 10:05:58 Drive-In -> Service ; 2026-03-19 10:06:39 Service In ; 2026-03-19 10:12:40 Service Out ; 2026-03-19 10:18:31 Service In ; 2026-03-19 12:23:46 Service In ; 2026-03-19 13:14:44 Service In ; 2026-03-19 13:22:24 Drive-In -> Service ; 2026-03-19 13:22:55 Service In ; 2026-03-19 13:49:30 Service In ; 2026-03-19 13:49:41 Service Out,Test-Drive → Backyard → Service → Backyard → Service → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard → Service → Backyard → Service → Backyard,Test-Drive [2026-03-19 09:57:11 → 2026-03-19 10:05:57] ; Backyard [2026-03-19 10:05:58 → 2026-03-19 10:06:38] ; Service [2026-03-19 10:06:39 → 2026-03-19 10:12:39] ; Backyard [2026-03-19 10:12:40 → 2026-03-19 10:18:30] ; Service [2026-03-19 10:18:31 → 2026-03-19 13:22:23] ; Backyard [2026-03-19 13:22:24 → 2026-03-19 13:22:54] ; Service [2026-03-19 13:22:55 → 2026-03-19 13:49:40] ; Backyard [2026-03-19 13:49:41 → ∅],Test-Drive [2026-03-19T09:57:11.647 → 2026-03-19T10:05:57.025] ; Backyard [2026-03-19T10:05:58.025 → 2026-03-19T10:06:38.026] ; Service [2026-03-19T10:06:39.026 → 2026-03-19T10:12:39.648] ; Backyard [2026-03-19T10:12:40.648 → 2026-03-19T10:18:30.038] ; Service [2026-03-19T10:18:31.038 → 2026-03-19T13:22:23.808] ; Backyard [2026-03-19T13:22:24.808 → 2026-03-19T13:22:54.167] ; Service [2026-03-19T13:22:55.167 → 2026-03-19T13:49:40.663] ; Backyard [2026-03-19T13:49:41.663 → ∅],DIFF
BH7777TA,2026-03-19 14:09:44 Service Out,Service* → Backyard,Service → Backyard,Service [∅ → 2026-03-19 14:09:44] ; Backyard [2026-03-19 14:09:44 → ∅],Service [∅ → 2026-03-19T14:09:44.484] ; Backyard [2026-03-19T14:09:44.484 → ∅],DIFF
BI7883CX,2026-03-18 14:25:11 Service -> Drive-In,,,,,OK
BI7888CX,2026-03-18 14:24:49 Service -> Drive-In ; 2026-03-18 14:50:35 Drive-In -> Service ; 2026-03-18 14:51:14 Service In ; 2026-03-18 17:55:07 Service Out,Test-Drive → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard,Test-Drive [2026-03-18 14:24:49 → 2026-03-18 14:50:34] ; Backyard [2026-03-18 14:50:35 → 2026-03-18 14:51:13] ; Service [2026-03-18 14:51:14 → 2026-03-18 17:55:06] ; Backyard [2026-03-18 17:55:07 → ∅],Test-Drive [2026-03-18T14:24:49.477 → 2026-03-18T14:50:34.437] ; Backyard [2026-03-18T14:50:35.437 → 2026-03-18T14:51:13.185] ; Service [2026-03-18T14:51:14.185 → 2026-03-18T17:55:06.423] ; Backyard [2026-03-18T17:55:07.423 → ∅],DIFF
BK0542K,2026-03-19 10:31:26 Post Out (Post 1) ; 2026-03-19 11:14:53 Post In (Post 1),Post 1* → Service → Post 1,Post 1 → Service → Post 1,Post 1 [∅ → 2026-03-19 10:31:26] ; Service [2026-03-19 10:31:26 → 2026-03-19 11:14:52] ; Post 1 [2026-03-19 11:14:53 → ∅],Post 1 [∅ → 2026-03-19T10:31:26.078] ; Service [2026-03-19T10:31:26.078 → 2026-03-19T11:14:52.233] ; Post 1 [2026-03-19T11:14:53.233 → ∅],DIFF
