plate,raw_track,expected_stage_flow,actual_stage_flow,expected_report_sequence,actual_report_sequence,status
KA1211AO,2026-03-19 10:45:36 Service -> Drive-In ; 2026-03-19 11:03:46 Drive-In -> Service ; 2026-03-19 11:12:11 Service In ; 2026-03-19 13:15:00 Service Out ; 2026-03-19 13:37:54 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard,Test-Drive [2026-03-19 10:45:36 → 2026-03-19 11:03:45] ; Backyard [2026-03-19 11:03:46 → 2026-03-19 11:12:10] ; Service [2026-03-19 11:12:11 → 2026-03-19 13:14:59] ; Backyard [2026-03-19 13:15:00 → ∅],Test-Drive [2026-03-19T10:45:36.661 → 2026-03-19T11:03:45.133] ; Backyard [2026-03-19T11:03:46.133 → 2026-03-19T11:12:10.346] ; Service [2026-03-19T11:12:11.346 → 2026-03-19T13:14:59.791] ; Backyard [2026-03-19T13:15:00.791 → ∅],DIFF
KA2009PB,2026-03-18 09:35:37 Service -> Drive-In ; 2026-03-19 08:48:52 Service -> Drive-In,,,,,OK
KA2105PE,2026-03-19 09:05:26 Service -> Drive-In,,,,,OK
KA2458FT,2026-03-18 18:42:41 Parking In,Parking,Parking,Parking [2026-03-18 18:42:41 → ∅],Parking [2026-03-18T18:42:41.267 → ∅],DIFF
KA2654TA,2026-03-17 13:01:22 Parking In ; 2026-03-17 13:34:26 Service -> Drive-In ; 2026-03-17 13:35:20 Parking Out ; 2026-03-17 14:44:12 Parking In ; 2026-03-17 15:13:54 Service -> Drive-In ; 2026-03-17 15:14:39 Parking Out ; 2026-03-18 10:56:12 Parking In ; 2026-03-18 11:28:36 Service -> Drive-In ; 2026-03-18 11:29:58 Parking Out ; 2026-03-18 16:34:52 Service -> Drive-In ; 2026-03-18 18:21:30 Parking In ; 2026-03-18 18:25:04 Service -> Drive-In ; 2026-03-18 18:27:08 Parking Out ; 2026-03-19 10:14:19 Parking In ; 2026-03-19 10:31:58 Parking Out,Parking → Parking* → Backyard → Parking → Parking* → Backyard → Parking → Parking* → Backyard || Parking → Parking* → Backyard → Parking → Backyard,Parking → Parking → Backyard → Parking → Parking → Backyard → Parking → Parking → Backyard → Parking → Parking → Backyard → Parking → Backyard,Parking [2026-03-17 13:01:22 → 2026-03-17 13:34:25] ; Parking [∅ → 2026-03-17 13:35:20] ; Backyard [2026-03-17 13:35:20 → 2026-03-17 14:44:11] ; Parking [2026-03-17 14:44:12 → 2026-03-17 15:13:53] ; Parking [∅ → 2026-03-17 15:14:39] ; Backyard [2026-03-17 15:14:39 → 2026-03-18 10:56:11] ; Parking [2026-03-18 10:56:12 → 2026-03-18 11:28:35] ; Parking [∅ → 2026-03-18 11:29:58] ; Backyard [2026-03-18 11:29:58 → 2026-03-18 16:34:51] || Parking [2026-03-18 18:21:30 → 2026-03-18 18:25:03] ; Parking [∅ → 2026-03-18 18:27:08] ; Backyard [2026-03-18 18:27:08 → 2026-03-19 10:14:18] ; Parking [2026-03-19 10:14:19 → 2026-03-19 10:31:57] ; Backyard [2026-03-19 10:31:58 → ∅],Parking [2026-03-17T13:01:22.397 → 2026-03-17T13:34:25.992] ; Parking [∅ → 2026-03-17T13:35:20.809] ; Backyard [2026-03-17T13:35:20.809 → 2026-03-17T14:44:11.677] ; Parking [2026-03-17T14:44:12.677 → 2026-03-17T15:13:53.844] ; Parking [∅ → 2026-03-17T15:14:39.991] ; Backyard [2026-03-17T15:14:39.991 → 2026-03-18T10:56:11.525] ; Parking [2026-03-18T10:56:12.525 → 2026-03-18T11:28:35.247] ; Parking [∅ → 2026-03-18T11:29:58.400] ; Backyard [2026-03-18T11:29:58.400 → 2026-03-18T16:34:51.083] ; Parking [2026-03-18T18:21:30.587 → 2026-03-18T18:25:03.954] ; Parking [∅ → 2026-03-18T18:27:08.487] ; Backyard [2026-03-18T18:27:08.487 → 2026-03-19T10:14:18.522] ; Parking [2026-03-19T10:14:19.522 → 2026-03-19T10:31:57.578] ; Backyard [2026-03-19T10:31:58.578 → ∅],DIFF
KA3269BK,2026-03-19 12:41:58 Service -> Drive-In,,,,,OK
KA3547MK,2026-03-19 14:03:03 Drive-In -> Service ; 2026-03-19 14:03:26 Service In,Backyard → Service,Backyard → Service,Backyard [2026-03-19 14:03:03 → 2026-03-19 14:03:25] ; Service [2026-03-19 14:03:26 → ∅],Backyard [2026-03-19T14:03:03.702 → 2026-03-19T14:03:25.115] ; Service [2026-03-19T14:03:26.115 → ∅],DIFF
KA3739PI,2026-03-19 13:11:22 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 13:11:22 → ∅],Backyard [2026-03-19T13:11:22.234 → ∅],DIFF
KA3844CH,2026-03-19 13:16:07 Service -> Drive-In,,,,,OK
KA3915EA,2026-03-17 13:21:42 Service In ; 2026-03-17 13:39:04 Service -> Drive-In ; 2026-03-17 14:37:10 Drive-In -> Service,Service → Test-Drive → Backyard,Service → Test-Drive → Backyard,Service [2026-03-17 13:21:42 → 2026-03-17 13:39:03] ; Test-Drive [2026-03-17 13:39:04 → 2026-03-17 14:37:09] ; Backyard [2026-03-17 14:37:10 → ∅],Service [2026-03-17T13:21:42.546 → 2026-03-17T13:39:03.239] ; Test-Drive [2026-03-17T13:39:04.239 → 2026-03-17T14:37:09.479] ; Backyard [2026-03-17T14:37:10.479 → ∅],DIFF
KA4331PX,2026-03-18 10:55:33 Parking In ; 2026-03-18 11:21:35 Service -> Drive-In ; 2026-03-18 11:22:35 Service -> Drive-In ; 2026-03-18 11:31:10 Parking Out,Parking → Test-Drive → Parking* → Backyard,Parking → Test-Drive → Parking → Backyard,Parking [2026-03-18 10:55:33 → 2026-03-18 11:21:34] ; Test-Drive [2026-03-18 11:22:35 → 2026-03-18 11:31:09] ; Parking [∅ → 2026-03-18 11:31:10] ; Backyard [2026-03-18 11:31:10 → ∅],Parking [2026-03-18T10:55:33.502 → 2026-03-18T11:21:34.096] ; Test-Drive [2026-03-18T11:22:35.239 → 2026-03-18T11:31:09.394] ; Parking [∅ → 2026-03-18T11:31:10.394] ; Backyard [2026-03-18T11:31:10.394 → ∅],DIFF
KA4415ME,2026-03-18 11:33:36 Service -> Drive-In ; 2026-03-18 11:52:49 Drive-In -> Service ; 2026-03-18 11:53:15 Service In ; 2026-03-18 15:49:17 Service Out ; 2026-03-18 15:57:02 Service -> Drive-In ; 2026-03-18 16:30:41 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard → Test-Drive → Backyard,Test-Drive → Backyard → Service → Backyard → Test-Drive → Backyard,Test-Drive [2026-03-18 11:33:36 → 2026-03-18 11:52:48] ; Backyard [2026-03-18 11:52:49 → 2026-03-18 11:53:14] ; Service [2026-03-18 11:53:15 → 2026-03-18 15:49:16] ; Backyard [2026-03-18 15:49:17 → 2026-03-18 15:57:01] ; Test-Drive [2026-03-18 15:57:02 → 2026-03-18 16:30:40] ; Backyard [2026-03-18 16:30:41 → ∅],Test-Drive [2026-03-18T11:33:36.316 → 2026-03-18T11:52:48.632] ; Backyard [2026-03-18T11:52:49.632 → 2026-03-18T11:53:14.072] ; Service [2026-03-18T11:53:15.072 → 2026-03-18T15:49:16.352] ; Backyard [2026-03-18T15:49:17.352 → 2026-03-18T15:57:01.525] ; Test-Drive [2026-03-18T15:57:02.525 → 2026-03-18T16:30:40.964] ; Backyard [2026-03-18T16:30:41.964 → ∅],DIFF
KA4444C,2026-03-18 16:19:01 Service Out,Service* → Backyard,Service → Backyard,Service [∅ → 2026-03-18 16:19:01] ; Backyard [2026-03-18 16:19:01 → ∅],Service [∅ → 2026-03-18T16:19:01.030] ; Backyard [2026-03-18T16:19:01.030 → ∅],DIFF
KA4444CX,2026-03-18 17:23:44 Service -> Drive-In ; 2026-03-19 11:17:18 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 11:17:18 → ∅],Backyard [2026-03-19T11:17:18.698 → ∅],DIFF
KA4511P,2026-03-18 11:31:20 Parking In,Parking,Parking,Parking [2026-03-18 11:31:20 → ∅],Parking [2026-03-18T11:31:20.691 → ∅],DIFF
KA4730AM,2026-03-18 08:23:15 Service -> Drive-In ; 2026-03-19 08:26:50 Service -> Drive-In,,,,,OK
KA4796PC,2026-03-18 09:01:42 Service -> Drive-In,,,,,OK
KA5086KA,2026-03-19 10:06:30 Drive-In -> Service ; 2026-03-19 10:15:11 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 10:06:30 → ∅],Backyard [2026-03-19T10:06:30.936 → ∅],DIFF
